#{"t_start": 1521694464.1732147, "env_id": null}
r,l,t
-4.844307,10,4.236379
-23.650655,10,4.238865
-3.392557,10,4.241401
-8.457544,10,4.243829
-6.693076,10,4.246362
-4.694413,10,4.248889
-3.388932,10,4.251377
-11.893117,10,4.253843
-8.442514,10,4.256412
-8.12641,10,4.275094
-7.571462,10,4.279022
-3.202825,10,4.282452
-2.135795,10,4.285888
-21.570627,10,4.289378
-1.031082,10,4.292634
-6.149252,10,4.296016
-22.319683,10,4.299578
-13.763974,10,4.303233
-3.69097,10,4.305921
-6.095844,10,4.32474
-17.444732,10,4.327332
-3.088455,10,4.329786
-10.977218,10,4.332432
-1.798789,10,4.334892
-5.091099,10,4.337396
-2.674664,10,4.339834
-2.778208,10,4.342297
-2.863206,10,4.34482
-9.254461,10,4.347353
-8.258651,10,4.364837
-3.618847,10,4.367371
-5.267914,10,4.369882
-36.816688,10,4.372538
-5.979255,10,4.375075
-4.968983,10,4.377692
-5.82708,10,4.380255
-3.516771,10,4.382804
-3.991368,10,4.38533
-12.247054,10,4.387919
-1.914678,10,4.404726
-6.655749,10,4.407257
-3.500328,10,4.409786
-6.228025,10,4.412249
-3.747189,10,4.414757
-4.771601,10,4.41731
-1.942181,10,4.419806
-2.917333,10,4.422364
-3.058708,10,4.424929
-3.182449,10,4.427505
-5.497738,10,4.443894
-15.770645,10,4.446405
-1.55577,10,4.44892
-2.503016,10,4.451429
-5.174779,10,4.453952
-4.71071,10,4.456489
-5.298239,10,4.45906
-4.230691,10,4.461607
-2.332326,10,4.464151
-1.668231,10,4.466703
-3.072141,10,4.484264
-5.376872,10,4.48713
-9.269685,10,4.489658
-6.366152,10,4.492169
-1.562615,10,4.494673
-9.936557,10,4.497229
-1.734341,10,4.499781
-8.569909,10,4.502428
-6.774524,10,4.504943
-1.70564,10,4.507484
-3.138109,10,4.525674
-3.57333,10,4.528206
-2.941725,10,4.530799
-5.326328,10,4.533371
-3.046731,10,4.536001
-5.445175,10,4.538544
-6.96219,10,4.541116
-4.466193,10,4.543682
-4.458517,10,4.54621
-8.218553,10,4.548746
-13.949845,10,4.566194
